,name,country,latitude,longitude,temperature,cloudiness,humidity,windspeed
368,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
369,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
370,coquimbo,CL,-29.9533,-71.3436,55.13,90.0,82.0,9.22
371,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
372,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
373,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
374,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
375,avera,PF,33.194,-82.5271,80.26,87.0,56.0,7.31
376,avarua,CK,-21.2078,-159.775,76.62,22.0,82.0,14.9
377,iquitos,PE,-3.7481,-73.2472,84.24,75.0,74.0,4.61
378,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
379,eten,PE,-6.9081,-79.8642,73.65,0.0,64.0,14.97
380,puerto madryn,AR,-42.7692,-65.0385,54.41,100.0,44.0,7.56
381,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
382,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
383,arraial do cabo,BR,-22.9661,-42.0278,69.66,0.0,83.0,5.75
384,manaus,BR,-3.1019,-60.025,81.09,75.0,83.0,1.14
385,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
386,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
387,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
388,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
389,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
390,lebu,CL,-37.6167,-73.65,50.61,3.0,71.0,14.97
391,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
392,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
393,rocha,UY,-34.4833,-54.3333,48.74,2.0,64.0,4.72
394,georgetown,SH,5.4112,100.3354,74.91,20.0,94.0,0.0
395,cape town,ZA,-33.9258,18.4232,54.61,53.0,85.0,3.0
396,faanui,PF,-16.4833,-151.75,79.29,26.0,79.0,20.65
397,avarua,CK,-21.2078,-159.775,76.62,22.0,82.0,14.9
398,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
399,lebu,CL,-37.6167,-73.65,50.61,3.0,71.0,14.97
400,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
401,atuona,PF,-9.8,-139.0333,77.31,50.0,80.0,25.7
402,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
403,castro,CL,-24.7911,-50.0119,55.99,8.0,72.0,3.49
404,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
